,city,train_len,train_RMSE,test_RMSE,class
0,Zuerich_Schimmelstrasse,12.0,6.36681571882643,9.107323466589778,low traffic
0,Zuerich_Stampfenbachstrasse,12.0,7.179635434557328,7.600148956463213,low traffic
0,Opfikon_Balsberg,18.0,6.560186146776825,6.408682386963873,high traffic
0,StGallen_Blumenbergplatz,18.0,6.520360474475262,4.382128868673567,low traffic
0,StGallen_Stuelegg,18.0,2.6667398305537464,2.250699230724323,no traffic
0,Zuerich_Schimmelstrasse,18.0,6.607569110172404,10.237130382377533,low traffic
0,Zuerich_Stampfenbachstrasse,18.0,6.919901463707478,5.812799804070429,low traffic
0,Opfikon_Balsberg,24.0,6.717076696622346,6.558718321455883,high traffic
0,StGallen_Blumenbergplatz,24.0,6.943010166344578,4.062233555160624,low traffic
0,StGallen_Stuelegg,24.0,2.94322921029937,2.133226132909217,no traffic
0,Zuerich_Schimmelstrasse,24.0,6.827848896587404,8.66498908030424,low traffic
0,Zuerich_Stampfenbachstrasse,24.0,7.245528585920407,5.63448873757277,low traffic
0,Opfikon_Balsberg,3.0,4.863784952975196,14.177692546502698,high traffic
0,StGallen_Blumenbergplatz,3.0,4.170101690170901,14.29670975152615,low traffic
0,StGallen_Stuelegg,3.0,1.05245205209405,4.878642080927643,no traffic
0,Zuerich_Schimmelstrasse,3.0,5.010984450307926,14.339422085008671,low traffic
0,Zuerich_Stampfenbachstrasse,3.0,4.54478377941839,19.707656659844165,low traffic
0,Opfikon_Balsberg,6.0,4.202804024770332,10.949542393705318,high traffic
0,StGallen_Blumenbergplatz,6.0,3.6509474897057994,13.650335021648853,low traffic
0,StGallen_Stuelegg,6.0,1.5134819566039117,2.4743097397737848,no traffic
0,Zuerich_Schimmelstrasse,6.0,5.340103368990084,9.27760185262209,low traffic
0,Zuerich_Stampfenbachstrasse,6.0,5.288321951262918,13.328630214599446,low traffic
0,Opfikon_Balsberg,9.0,5.978065876245905,8.25939162859241,high traffic
0,StGallen_Blumenbergplatz,9.0,6.224512951546317,8.148277659886478,low traffic
0,StGallen_Stuelegg,9.0,2.4510172182671237,2.7584584414920883,no traffic
0,Zuerich_Schimmelstrasse,9.0,5.82658952662527,7.851312994752551,low traffic
0,Zuerich_Stampfenbachstrasse,9.0,6.2953975705436225,7.87883521506445,low traffic
0,Opfikon_Balsberg,12.0,6.220263081991122,5.80783610935491,high traffic
0,StGallen_Blumenbergplatz,12.0,6.773688989494175,7.385860080729729,low traffic
0,StGallen_Stuelegg,12.0,2.8689135113733846,2.6148938476420738,no traffic
0,Zuerich_Schimmelstrasse,12.0,6.398329502926838,11.836606904730944,low traffic
0,Zuerich_Stampfenbachstrasse,12.0,6.955794100894464,8.358912731968879,low traffic
0,Opfikon_Balsberg,18.0,6.290166357508948,7.96299670967414,high traffic
0,StGallen_Blumenbergplatz,18.0,6.3730916892413365,7.316557880746421,low traffic
0,StGallen_Stuelegg,18.0,2.5807588836431363,2.59860399124053,no traffic
0,Zuerich_Schimmelstrasse,18.0,6.489217217199624,12.573717878342881,low traffic
0,Zuerich_Stampfenbachstrasse,18.0,6.817866842462292,7.471070496066467,low traffic
0,Opfikon_Balsberg,24.0,6.741111474191715,8.34217923353815,high traffic
0,StGallen_Blumenbergplatz,24.0,6.938474681669395,7.07218872538889,low traffic
0,StGallen_Stuelegg,24.0,2.9523263921645744,2.414151213307509,no traffic
0,Zuerich_Schimmelstrasse,24.0,6.873382407447794,13.932361501516846,low traffic
0,Zuerich_Stampfenbachstrasse,24.0,7.247025580983662,6.779463024604641,low traffic
0,Opfikon_Balsberg,3.0,4.617404996284522,16.12570076031656,high traffic
0,StGallen_Blumenbergplatz,3.0,4.457390574237601,19.43554821387524,low traffic
0,StGallen_Stuelegg,3.0,1.3247390616058896,2.9945758016434234,no traffic
0,Zuerich_Schimmelstrasse,3.0,4.3346432010399845,15.767188542103092,low traffic
0,Zuerich_Stampfenbachstrasse,3.0,3.962149499986089,12.364448968326817,low traffic
0,Opfikon_Balsberg,6.0,4.178642373625039,16.015468612163204,high traffic
0,StGallen_Blumenbergplatz,6.0,3.523767698241819,8.727465477737798,low traffic
0,StGallen_Stuelegg,6.0,1.3831660882904078,3.766024084274047,no traffic
0,Zuerich_Schimmelstrasse,6.0,5.073711229504189,17.36371966402032,low traffic
0,Zuerich_Stampfenbachstrasse,6.0,5.2002297829027295,18.27394897408213,low traffic
0,Opfikon_Balsberg,9.0,5.578740948127712,12.097511981514629,high traffic
0,StGallen_Blumenbergplatz,9.0,5.344751975010259,8.175615060605509,low traffic
0,StGallen_Stuelegg,9.0,2.241889092009458,3.31680143111532,no traffic
0,Zuerich_Schimmelstrasse,9.0,5.521170534827281,13.258214077043707,low traffic
0,Zuerich_Stampfenbachstrasse,9.0,6.228458031310192,14.112173985106953,low traffic
