,no2,city,pre_lockdown_model,dummy,lockdown_model,weekday,class,year
2016-06-17,32.831739130434784,Opfikon_Balsberg,39.001751378138934,35.574005885535804,27.39845037654581,4,high traffic,2016
2016-06-18,31.42875,Opfikon_Balsberg,28.959794311913406,30.86129195842704,19.190907116113195,5,high traffic,2016
2016-06-19,40.79916666666667,Opfikon_Balsberg,26.283585158040097,31.479700874689378,17.222936149400955,6,high traffic,2016
2016-06-20,39.52833333333334,Opfikon_Balsberg,32.3938144139875,32.3938144139875,21.417366164869584,0,high traffic,2016
2016-06-21,41.88045454545454,Opfikon_Balsberg,38.94044477911137,37.05106089455968,29.517483044071824,1,high traffic,2016
2016-06-22,18.150416666666665,Opfikon_Balsberg,24.549151832396138,22.940779155742938,15.482691129487733,2,high traffic,2016
2016-06-23,33.895,Opfikon_Balsberg,36.51212160552824,33.44704322407475,27.86225945212003,3,high traffic,2016
2016-06-24,48.03249999999999,Opfikon_Balsberg,41.16174398976744,37.54416330574479,29.368607796754794,4,high traffic,2016
2016-06-25,36.54318181818181,Opfikon_Balsberg,30.102526514502305,32.079055860841386,20.408671018527542,5,high traffic,2016
2016-06-26,23.79958333333333,Opfikon_Balsberg,27.882092380654058,33.39422390917446,19.137459183886033,6,high traffic,2016
2016-06-27,34.397619047619045,Opfikon_Balsberg,31.440486161852785,31.440486161852785,20.464037912734874,0,high traffic,2016
2016-06-28,33.620625,Opfikon_Balsberg,39.3174278285327,37.409752789312215,29.876174938824356,1,high traffic,2016
2016-06-29,51.84785714285715,Opfikon_Balsberg,35.944556309905025,33.58959746497328,26.131509438718076,2,high traffic,2016
2016-06-30,40.16125,Opfikon_Balsberg,37.527865676791514,34.37751875828738,28.79273498633266,3,high traffic,2016
2016-07-01,35.620909090909095,Opfikon_Balsberg,36.62897084791826,33.409761830729906,25.23420632173991,4,high traffic,2016
2016-07-02,40.42333333333333,Opfikon_Balsberg,33.12117886941999,35.29591267421263,23.625527831898786,5,high traffic,2016
2016-07-03,24.29708333333333,Opfikon_Balsberg,26.209796181411498,31.39132423588036,17.134559510591938,6,high traffic,2016
2016-07-04,34.57578947368422,Opfikon_Balsberg,36.53283405251362,36.53283405251362,25.556385803395706,0,high traffic,2016
2016-07-05,32.45695652173914,Opfikon_Balsberg,37.627650754489565,35.80196341700934,28.26838556652148,1,high traffic,2016
2016-07-06,37.629090909090905,Opfikon_Balsberg,34.68150182349509,32.40929379370089,24.951205767445686,2,high traffic,2016
2016-07-07,24.272083333333335,Opfikon_Balsberg,26.42597556149346,24.207597586161338,18.622813814206623,3,high traffic,2016
2016-07-08,50.06952380952382,Opfikon_Balsberg,38.26752281633026,34.904306442403865,26.72875093341387,4,high traffic,2016
2016-07-09,33.71166666666667,Opfikon_Balsberg,31.405307922560954,33.467377786027484,21.79699294371364,5,high traffic,2016
2016-07-10,37.66166666666667,Opfikon_Balsberg,28.250859248740742,33.83589389559614,19.57912917030772,6,high traffic,2016
2016-07-11,41.40666666666667,Opfikon_Balsberg,34.632444779742066,34.632444779742066,23.65599653062415,0,high traffic,2016
2016-07-12,47.03272727272726,Opfikon_Balsberg,39.90503520185344,37.968849550905404,30.435271700417545,1,high traffic,2016
2016-07-13,44.65166666666667,Opfikon_Balsberg,34.07842367929663,31.845727173796117,24.387639147540913,2,high traffic,2016
2016-07-14,45.08650000000001,Opfikon_Balsberg,33.39431449052524,30.590966262388577,25.006182490433858,3,high traffic,2016
2016-07-15,34.096666666666664,Opfikon_Balsberg,36.31190154447307,33.12055878552501,24.94500327653502,4,high traffic,2016
2016-07-16,19.46818181818181,Opfikon_Balsberg,26.470938138105513,28.209017698632955,16.53863285631911,5,high traffic,2016
2016-07-17,21.55333333333333,Opfikon_Balsberg,27.819837402759227,33.31966147523304,19.062896749944617,6,high traffic,2016
2016-07-18,31.539583333333336,Opfikon_Balsberg,32.65721995034132,32.65721995034132,21.680771701223406,0,high traffic,2016
2016-07-19,24.845,Opfikon_Balsberg,20.8555094470781,19.843603607867898,12.310025757380037,1,high traffic,2016
2016-07-20,48.33227272727272,Opfikon_Balsberg,33.150295994184454,30.97840709700262,23.520319070747416,2,high traffic,2016
2016-07-21,35.82791666666667,Opfikon_Balsberg,33.881915239128865,31.037634453594624,25.45285068163991,3,high traffic,2016
2016-07-22,40.78875000000001,Opfikon_Balsberg,34.13866777402255,31.138323931733655,22.962768422743657,4,high traffic,2016
2016-07-23,33.28125000000001,Opfikon_Balsberg,27.81525655111841,29.64160394500741,17.971219102693567,5,high traffic,2016
2016-07-24,25.180909090909093,Opfikon_Balsberg,28.427884797403987,34.04791639121798,19.791151665929558,6,high traffic,2016
2016-07-25,35.20583333333333,Opfikon_Balsberg,31.884753705833056,31.884753705833056,20.90830545671514,0,high traffic,2016
2016-07-26,32.55625,Opfikon_Balsberg,32.90560190619093,31.309027591087563,23.775449740599704,1,high traffic,2016
2016-07-27,32.34583333333333,Opfikon_Balsberg,32.661276569518414,30.521426477031557,23.063338450776353,2,high traffic,2016
2016-07-28,34.962727272727264,Opfikon_Balsberg,34.263377162189244,31.387073841608913,25.802290069654198,3,high traffic,2016
2016-07-29,34.65625,Opfikon_Balsberg,34.51209526731308,31.478932016620437,23.30337650763044,4,high traffic,2016
2016-07-30,28.812500000000004,Opfikon_Balsberg,30.37557202132784,32.370029512564216,20.699644670250372,5,high traffic,2016
2016-07-31,33.992916666666666,Opfikon_Balsberg,27.73206581573822,33.21453794326037,18.957773217971944,6,high traffic,2016
2016-08-01,20.83909090909091,Opfikon_Balsberg,32.378488757106474,32.378488757106474,21.40204050798856,0,high traffic,2016
2016-08-02,30.800416666666663,Opfikon_Balsberg,34.37887255954605,32.71081539811615,25.177237547628287,1,high traffic,2016
2016-08-03,32.03041666666666,Opfikon_Balsberg,32.586297326446186,30.451359605950707,22.993271579695502,2,high traffic,2016
2016-08-04,39.61416666666667,Opfikon_Balsberg,30.764781629396193,28.182174458518382,22.597390686563664,3,high traffic,2016
2016-08-05,36.16652173913044,Opfikon_Balsberg,32.68266455598736,29.81028441510889,21.634728906118895,4,high traffic,2016
2016-08-06,23.73434782608695,Opfikon_Balsberg,27.652896086043587,29.4685829055203,17.798198063206456,5,high traffic,2016
2016-08-07,14.940000000000005,Opfikon_Balsberg,15.858943353851714,18.994166509859866,4.737401784571443,6,high traffic,2016
2016-08-08,33.946666666666665,Opfikon_Balsberg,33.35750412429691,33.35750412429691,22.381055875178994,0,high traffic,2016
2016-08-09,26.26458333333333,Opfikon_Balsberg,29.628424159893694,28.190857962334654,20.657280111846795,1,high traffic,2016
2016-08-10,36.63818181818182,Opfikon_Balsberg,33.15863779974507,30.98620237728084,23.528114351025636,2,high traffic,2016
2016-08-11,37.102916666666665,Opfikon_Balsberg,34.57449351867657,31.67207295328948,26.08728918133476,3,high traffic,2016
